,open,close,low,high
2018-12-12,580.2,580.4,574.3,580.6
2018-12-13,581.39,592.97,581.0,598.02
2018-12-14,589.28,584.31,583.36,591.05
2018-12-17,583.92,581.9,576.47,587.27
2018-12-18,577.33,582.32,576.46,582.91
2018-12-19,580.4,569.37,567.62,582.37
2018-12-20,567.81,566.12,560.59,573.01
2018-12-21,562.67,559.13,554.01,565.08
2018-12-24,555.28,559.71,549.86,562.58
2018-12-25,554.02,557.53,545.53,559.22
2018-12-26,555.58,551.91,549.86,560.11
2018-12-27,561.68,554.78,554.02,563.5
2018-12-28,555.08,581.4,551.83,587.7
2019-01-02,601.08,590.24,586.33,603.07
2019-01-03,591.21,581.39,577.25,592.88
2019-01-04,578.71,593.21,573.53,598.8
2019-01-07,599.13,596.65,593.43,603.07
2019-01-08,596.66,595.96,591.52,603.07
2019-01-09,601.09,607.13,600.15,617.02
2019-01-10,608.12,609.74,601.34,615.76
2019-01-11,615.88,626.6,609.72,627.7
2019-01-14,623.76,615.49,612.48,626.61
2019-01-15,618.7,650.35,615.88,651.85
2019-01-16,648.4,651.45,644.06,655.94
2019-01-17,653.32,649.63,646.23,659.93
2019-01-18,655.3,673.63,651.85,680.13
2019-01-21,679.93,676.95,671.93,688.68
2019-01-22,675.99,661.21,655.51,675.99
2019-01-23,657.48,655.95,653.45,664.66
2019-01-24,660.52,662.69,654.98,667.94
2019-01-25,666.02,669.78,660.15,674.91
2019-01-28,674.02,667.12,666.16,683.85
2019-01-29,667.61,675.0,658.25,677.96
2019-01-30,674.99,666.13,666.13,676.21
2019-01-31,670.08,679.54,667.67,679.54
2019-02-01,686.87,682.56,679.55,688.8
2019-02-11,684.86,714.72,678.14,718.85
2019-02-12,712.45,707.44,704.76,714.9
2019-02-13,712.45,724.52,706.75,725.42
2019-02-14,720.53,726.4,719.48,732.81
2019-02-15,724.16,714.2,712.47,724.16
2019-02-18,720.33,729.2,720.33,734.08
2019-02-19,730.15,720.1,716.06,731.66
2019-02-20,724.27,711.46,705.61,724.27
2019-02-21,709.49,709.74,706.54,719.82
2019-02-22,706.54,715.42,703.68,717.86
2019-02-25,720.09,731.5,707.51,733.58
2019-02-26,736.89,716.74,715.41,738.25
2019-02-27,722.3,729.89,720.33,746.96
2019-02-28,727.13,743.99,726.2,752.28
2019-03-01,750.39,777.78,749.89,778.47
2019-03-04,783.4,770.45,765.88,786.68
2019-03-05,773.54,768.4,764.56,778.03
2019-03-06,763.69,756.79,754.7,768.12
2019-03-07,751.1,737.68,734.68,751.1
2019-03-08,727.13,726.74,722.94,735.93
2019-03-11,729.24,747.47,729.24,755.76
2019-03-12,752.67,734.14,728.22,752.68
2019-03-13,734.62,743.0,734.62,749.65
2019-03-14,745.95,766.65,743.0,773.54
2019-03-15,764.68,765.96,753.69,776.01
2019-03-18,767.43,798.27,765.66,802.64
2019-03-19,791.28,781.04,780.74,796.13
2019-03-20,778.47,781.23,773.54,790.59
2019-03-21,776.5,774.28,770.1,781.23
2019-03-22,776.72,782.41,773.54,788.31
2019-03-25,774.53,764.28,762.02,776.5
2019-03-26,768.62,761.72,752.95,774.47
2019-03-27,769.6,776.99,763.69,782.29
2019-03-28,781.85,795.03,774.21,802.59
2019-03-29,822.81,841.53,818.06,854.03
2019-04-01,847.45,846.46,838.58,856.27
2019-04-02,847.44,837.6,823.86,847.44
2019-04-03,827.86,832.18,822.04,839.31
2019-04-04,827.74,852.38,824.0,853.17
2019-04-08,886.87,887.06,877.13,894.75
2019-04-09,889.82,891.79,879.49,894.95
2019-04-10,889.82,934.16,886.87,938.01
2019-04-11,934.17,911.7,892.34,936.14
2019-04-12,895.73,900.66,886.88,906.56
2019-04-15,917.41,893.76,893.76,925.3
2019-04-16,891.69,926.18,888.07,926.18
2019-04-17,924.31,938.11,911.5,941.57
2019-04-18,931.61,931.7,922.56,940.75
2019-04-19,930.18,938.66,917.72,946.93
2019-04-22,945.5,935.35,926.88,964.6
2019-04-23,937.12,960.72,935.35,966.9
2019-04-24,965.58,955.84,937.34,975.55
2019-04-25,954.65,938.47,937.34,959.78
2019-04-26,932.49,931.21,931.21,945.87
2019-04-29,931.21,957.79,921.36,974.57
2019-04-30,953.87,959.79,949.06,970.59
2019-05-06,911.99,892.78,879.97,921.36
2019-05-07,880.24,877.01,857.52,900.6
2019-05-08,847.45,871.49,847.45,888.64
2019-05-09,862.23,846.28,830.21,867.03
2019-05-10,862.88,893.88,855.52,897.49
2019-05-13,885.74,878.98,871.1,897.69
2019-05-14,872.09,873.63,860.26,892.78
2019-05-15,877.25,913.47,877.25,919.38
2019-05-16,905.59,916.34,891.79,918.4
2019-05-17,913.49,893.56,886.96,918.69
2019-05-20,886.87,872.05,858.29,886.87
2019-05-21,872.09,881.94,859.29,896.72
2019-05-22,881.92,875.04,867.16,890.81
2019-05-23,868.14,848.44,843.72,871.08
2019-05-24,852.38,865.68,851.83,872.09
2019-05-27,866.27,866.17,847.5,870.1
2019-05-28,865.18,875.04,862.25,894.25
2019-05-29,875.05,898.6,875.05,911.45
2019-05-30,896.72,892.09,878.21,906.56
2019-05-31,887.39,877.01,877.01,893.75
2019-06-03,878.98,878.98,873.35,888.2
2019-06-04,881.94,862.53,858.29,882.36
2019-06-05,871.1,858.88,857.3,873.33
2019-06-06,862.84,849.55,845.48,862.99
2019-06-10,845.46,858.37,827.74,866.12
2019-06-11,863.22,897.6,862.23,902.25
2019-06-12,893.0,893.47,880.95,897.7
2019-06-13,896.72,896.72,883.91,898.99
2019-06-14,897.71,899.68,896.74,918.69
2019-06-17,893.76,898.3,892.8,913.41
2019-06-18,903.62,903.62,889.43,906.57
2019-06-19,926.28,918.41,918.41,932.88
2019-06-20,918.89,960.77,918.6,961.26
2019-06-21,955.82,962.05,950.42,970.12
2019-06-24,964.02,972.7,960.77,985.1
2019-06-25,977.52,968.64,952.89,984.42
2019-06-26,970.63,965.56,957.05,970.63
2019-06-27,970.63,981.81,966.8,986.39
2019-06-28,985.99,984.0,971.33,988.88
2019-07-01,1004.52,1031.86,1000.22,1035.6
2019-07-02,1025.0,1025.0,1016.0,1029.5
2019-07-03,1020.0,987.9,981.5,1023.0
2019-07-04,985.8,981.2,971.22,990.8
2019-07-05,986.0,999.82,976.3,1006.0
2019-07-08,995.05,984.86,975.0,997.9
2019-07-09,979.3,976.06,968.35,989.0
2019-07-10,980.93,982.52,977.0,990.58
2019-07-11,989.96,981.5,976.0,998.38
2019-07-12,981.3,986.09,980.01,991.5
2019-07-15,967.8,975.93,951.13,980.1
2019-07-16,975.45,968.0,965.0,982.3
2019-07-17,968.0,963.5,962.13,972.99
2019-07-18,961.5,947.5,947.18,963.0
2019-07-19,955.0,955.87,948.0,960.8
